Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_STATE,Geo_COUNTY,SE_T003_001,SE_NV002_001,SE_T011_001,SE_T011_002
"01001","Autauga County","Autauga County, Alabama ","01","001",8.786701209,407,18.7,15.1
"04001","Apache County","Apache County, Arizona","04","001",6.950539675,586,25.6,14.6
"05001","Arkansas County","Arkansas County, Arkansas","05","001",11.42374789,203,22.4,13.9
"06001","Alameda County","Alameda County, California","06","001",7.2431443196,10132,10.6,16.3
"08001","Adams County","Adams County, Colorado","08","001",8.7224706077,4214,18.1,18.5
"09001","Fairfield County","Fairfield County, Connecticut ","09","001",7.6307213647,5690,14.2,18.3
"10001","Kent County","Kent County, Delaware","10","001",8.4769745305,1318,18.2,15.3
"11001","District of Columbia County","District of Columbia County, District of Columbia ","11","001",10.214265664,6550,15.8,24.9
"12001","Alachua County","Alachua County, Florida ","12","001",8.7055223807,1764,18.2,20.3
"13001","Appling County","Appling County, Georgia ","13","001",10.652173913,196,17.9,14.2
"15001","Hawaii County","Hawaii County, Hawaii ","15","001",7.9102238634,1371,17.6,21.6
"16001","Ada County","Ada County, Idaho ","16","001",6.4082449686,2369,14.9,17.4
"17001","Adams County","Adams County, Illinois ","17","001",7.3272128876,423,16.4,20.2
"18001","Adams County","Adams County, Indiana ","18","001",7.4764353042,349,20.5,15
"19001","Adair County","Adair County, Iowa ","19","001",6.9418386492,37,14.9,18.9
"20001","Allen County","Allen County, Kansas ","20","001",5.9661620659,67,17.4,15.1
"21001","Adair County","Adair County, Kentucky ","21","001",7.371349096,106,23.7,11.7
"22001","Acadia Parish","Acadia Parish, Louisiana ","22","001",10.264385692,660,22.7,18.9
"23001","Androscoggin County","Androscoggin County, Maine ","23","001",7.112705783,674,18.3,19.4
"24001","Allegany County","Allegany County, Maryland ","24","001",9.0963976655,452,17.3,16.8
"25001","Barnstable County","Barnstable County, Massachusetts ","25","001",6.8678113019,824,12.1,20.3
"26001","Alcona County","Alcona County, Michigan ","26","001",6.6210045662,29,15.9,16.1
"27001","Aitkin County","Aitkin County, Minnesota ","27","001",6.4377682403,60,16,17.8
"28001","Adams County","Adams County, Mississippi ","28","001",14.316315602,401,21.8,11.8
"29001","Adair County","Adair County, Missouri ","29","001",8.3504098361,163,23.5,16.6
"30001","Beaverhead County","Beaverhead County, Montana ","30","001",7.4581430746,49,17.1,20.1
"31001","Adams County","Adams County, Nebraska ","31","001",6.9913043478,201,17.3,20.8
"32001","Churchill County","Churchill County, Nevada ","32","001",6.7212408445,156,18.3,18.2
"33001","Belknap County","Belknap County, New Hampshire ","33","001",6.8005018821,271,16,18.1
"34001","Atlantic County","Atlantic County, New Jersey ","34","001",8.6160585148,2085,18.5,17.7
"35001","Bernalillo County","Bernalillo County, New Mexico ","35","001",8.9972005114,5560,16.9,15.7
"36001","Albany County","Albany County, New York ","36","001",8.5745999445,1854,13.6,18.7
"37001","Alamance County","Alamance County, North Carolina ","37","001",9.3689806611,1216,18.9,14.2
"38001","Adams County","Adams County, North Dakota ","38","001",6.0606060606,10,15.3,19.5
"39001","Adams County","Adams County, Ohio ","39","001",9.0199140961,231,23,15.8
"40001","Adair County","Adair County, Oklahoma ","40","001",8.4993899959,209,29.3,11
"41001","Baker County","Baker County, Oregon ","41","001",6.5669160432,79,15.9,18.5
"42001","Adams County","Adams County, Pennsylvania ","42","001",7.6114778391,565,17,17.4
"44001","Bristol County","Bristol County, Rhode Island ","44","001",5.8523173606,149,13.3,22.8
"45001","Abbeville County","Abbeville County, South Carolina ","45","001",10.00532198,188,20.5,14.1
"47001","Anderson County","Anderson County, Tennessee ","47","001",8.9462880602,523,22.7,11.8
"48001","Anderson County","Anderson County, Texas ","48","001",8.059631959,346,17.7,17.9
"49001","Beaver County","Beaver County, Utah ","49","001",7.0847851336,61,9.7,11.5
"50001","Addison County","Addison County, Vermont ","50","001",5.5456965395,125,13.4,21.7
"51001","Accomack County","Accomack County, Virginia ","51","001",9.8318240621,304,20.2,13.6
"53001","Adams County","Adams County, Washington ","53","001",7.0751523358,209,15.8,18.2
"54001","Barbour County","Barbour County, West Virginia ","54","001",6.1638280616,76,25.1,10.7
"55001","Adams County","Adams County, Wisconsin","55","001",7.4181117534,77,16,22.5
"56001","Albany County","Albany County, Wyoming","56","001",9.752793769,288,19,20.7
"01003","Baldwin County","Baldwin County, Alabama ","01","003",8.5072966429,1300,18.6,15.1
"04003","Cochise County","Cochise County, Arizona","04","003",7.7913610432,956,16,14.9
"05003","Ashley County","Ashley County, Arkansas","05","003",11.517548196,233,24.4,12.8
"06003","Alpine County","Alpine County, California","06","003",,,15.7,17.9
"08003","Alamosa County","Alamosa County, Colorado","08","003",10.810810811,184,16.6,17
"09003","Hartford County","Hartford County, Connecticut ","09","003",8.5625889667,5895,12.6,17
"10003","New Castle County","New Castle County, Delaware","10","003",9.0063520871,4367,17.3,19.3
"12003","Baker County","Baker County, Florida ","12","003",9.2206790123,239,19.2,21.1
"13003","Atkinson County","Atkinson County, Georgia ","13","003",6.6733067729,67,21,14
"15003","Honolulu County","Honolulu County, Hawaii ","15","003",8.4322803481,8032,12.9,20.1
"16003","Adams County","Adams County, Idaho ","16","003",4.641350211,11,17.3,13.5
"17003","Alexander County","Alexander County, Illinois ","17","003",10.941475827,86,23.8,15.2
"18003","Allen County","Allen County, Indiana ","18","003",8.7874969842,3278,20.4,16.2
"19003","Adams County","Adams County, Iowa ","19","003",9.1743119266,30,15.8,18.8
"20003","Anderson County","Anderson County, Kansas ","20","003",6.4383561644,47,17.3,15.2
"21003","Allen County","Allen County, Kentucky ","21","003",8.2451253482,148,25.2,11.8
"22003","Allen Parish","Allen Parish, Louisiana ","22","003",9.9624843685,239,22.8,19.5
"23003","Aroostook County","Aroostook County, Maine ","23","003",6.9131161236,331,18.7,16.6
"24003","Anne Arundel County","Anne Arundel County, Maryland ","24","003",8.1212497414,3925,12.9,20.9
"25003","Berkshire County","Berkshire County, Massachusetts ","25","003",7.8986220472,642,15.1,18.4
"26003","Alger County","Alger County, Michigan ","26","003",6.7510548523,32,17.1,19
"27003","Anoka County","Anoka County, Minnesota ","27","003",6.6394796266,1970,16.1,21.2
"28003","Alcorn County","Alcorn County, Mississippi ","28","003",12.32449298,395,19.9,14
"29003","Andrew County","Andrew County, Missouri ","29","003",6.1176470588,78,17.9,16.2
"30003","Big Horn County","Big Horn County, Montana ","30","003",6.0314242271,119,28,18.2
"31003","Antelope County","Antelope County, Nebraska ","31","003",4.9069373942,29,14.5,19.3
"32003","Clark County","Clark County, Nevada ","32","003",8.2299009421,15960,17.6,17
"33003","Carroll County","Carroll County, New Hampshire ","33","003",6.0259344012,158,16.3,17.3
"34003","Bergen County","Bergen County, New Jersey ","34","003",7.879794624,5218,11.9,17.6
"35003","Catron County","Catron County, New Mexico ","35","003",12.162162162,18,15.7,11.9
"36003","Allegany County","Allegany County, New York ","36","003",7.3394495413,256,16.4,19.2
"37003","Alexander County","Alexander County, North Carolina ","37","003",7.8125,210,19.1,14.9
"38003","Barnes County","Barnes County, North Dakota ","38","003",5.5415617128,44,16,21.2
"39003","Allen County","Allen County, Ohio ","39","003",8.0312266068,751,21.2,16.4
"40003","Alfalfa County","Alfalfa County, Oklahoma ","40","003",8.7939698492,35,19.4,13.4
"41003","Benton County","Benton County, Oregon ","41","003",5.6578442654,295,14.8,23.2
"42003","Allegheny County","Allegheny County, Pennsylvania ","42","003",8.0807418816,7398,18.7,21.1
"44003","Kent County","Kent County, Rhode Island ","44","003",7.340585478,830,14.9,19.3
"45003","Aiken County","Aiken County, South Carolina ","45","003",9.4954764039,1165,18.9,14.7
"46003","Aurora County","Aurora County, South Dakota ","46","003",7.0247933884,17,14.1,18.3
"47003","Bedford County","Bedford County, Tennessee ","47","003",8.9905014358,407,25,11.8
"48003","Andrews County","Andrews County, Texas ","48","003",8.3158995816,159,14.3,19.3
"49003","Box Elder County","Box Elder County, Utah ","49","003",6.4134888118,407,9.2,11
"50003","Bennington County","Bennington County, Vermont ","50","003",6.9258809235,171,14.5,18.7
"51003","Albemarle County","Albemarle County, Virginia ","51","003",6.5117500328,496,14.7,17.5
"53003","Asotin County","Asotin County, Washington ","53","003",5.6818181818,95,14,17.8
"54003","Berkeley County","Berkeley County, West Virginia ","54","003",7.6476683938,738,25.5,11.8
"55003","Ashland County","Ashland County, Wisconsin","55","003",5.2748885587,71,19.8,22.1
"56003","Big Horn County","Big Horn County, Wyoming","56","003",6.1122244489,61,16.1,15.8
"01005","Barbour County","Barbour County, Alabama ","01","005",12.148280482,272,21.4,12.4
"04005","Coconino County","Coconino County, Arizona","04","005",7.7345502359,1000,19.8,19.2
"05005","Baxter County","Baxter County, Arkansas","05","005",7.3564122738,187,20.1,13
"06005","Amador County","Amador County, California","06","005",6.3136456212,124,12.6,18.7
"08005","Arapahoe County","Arapahoe County, Colorado","08","005",9.4729371335,5072,13.9,19.4
"09005","Litchfield County","Litchfield County, Connecticut ","09","005",7.2327328687,799,13.3,19.4
"10005","Sussex County","Sussex County, Delaware","10","005",7.6212186557,1237,17.3,14.4
"12005","Bay County","Bay County, Florida ","12","005",8.1872825055,1294,17.4,20.5
"13005","Bacon County","Bacon County, Georgia ","13","005",9.4129554656,93,18.2,15.1
"15005","Kalawao County","Kalawao County, Hawaii ","15","005",,,13.7,17.6
"16005","Bannock County","Bannock County, Idaho ","16","005",7.3426573427,714,15.7,16.5
"17005","Bond County","Bond County, Illinois ","17","005",7.6986076986,94,17.4,20.5
